1 1:0 2:189 3:14 4:0.0 5:0.0 6:0.0 7:0.931034482759 8:0.0689655172414
1 1:0 2:14 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:2 2:63 3:20 4:0.0235294117647 5:0.0307692307692 6:0.0909090909091 7:0.741176470588 8:0.235294117647
1 1:9 2:39 3:68 4:0.0775862068966 5:0.1875 6:0.116883116883 7:0.336206896552 8:0.586206896552
1 1:0 2:3 3:64 4:0.0 5:0.0 6:0.0 7:0.044776119403 8:0.955223880597
1 1:4 2:8 3:521 4:0.00750469043152 5:0.333333333333 6:0.00761904761905 7:0.015009380863 8:0.977485928705
1 1:24 2:520 3:7 4:0.043557168784 5:0.0441176470588 6:0.774193548387 7:0.943738656987 8:0.0127041742287
1 1:0 2:153 3:1 4:0.0 5:0.0 6:0.0 7:0.993506493506 8:0.00649350649351
1 1:1 2:115 3:86 4:0.0049504950495 5:0.00862068965517 6:0.0114942528736 7:0.569306930693 8:0.425742574257
1 1:0 2:30 3:106 4:0.0 5:0.0 6:0.0 7:0.220588235294 8:0.779411764706
1 1:15 2:120 3:10 4:0.103448275862 5:0.111111111111 6:0.6 7:0.827586206897 8:0.0689655172414
1 1:15 2:55 3:65 4:0.111111111111 5:0.214285714286 6:0.1875 7:0.407407407407 8:0.481481481481
1 1:1 2:310 3:62 4:0.00268096514745 5:0.0032154340836 6:0.015873015873 7:0.83109919571 8:0.166219839142
1 1:0 2:3 3:1 4:0.0 5:0.0 6:0.0 7:0.75 8:0.25
1 1:1 2:457 3:62 4:0.00192307692308 5:0.00218340611354 6:0.015873015873 7:0.878846153846 8:0.119230769231
1 1:0 2:3 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:4 2:52 3:4 4:0.0666666666667 5:0.0714285714286 6:0.5 7:0.866666666667 8:0.0666666666667
1 1:0 2:31 3:26 4:0.0 5:0.0 6:0.0 7:0.543859649123 8:0.456140350877
1 1:5 2:480 3:16 4:0.00998003992016 5:0.0103092783505 6:0.238095238095 7:0.958083832335 8:0.0319361277445
1 1:0 2:135 3:60 4:0.0 5:0.0 6:0.0 7:0.692307692308 8:0.307692307692
1 1:0 2:60 3:11 4:0.0 5:0.0 6:0.0 7:0.845070422535 8:0.154929577465
1 1:7 2:4 3:124 4:0.0518518518519 5:0.636363636364 6:0.0534351145038 7:0.0296296296296 8:0.918518518519
1 1:1 2:37 3:3 4:0.0243902439024 5:0.0263157894737 6:0.25 7:0.90243902439 8:0.0731707317073
1 1:31 2:17 3:85 4:0.233082706767 5:0.645833333333 6:0.26724137931 7:0.127819548872 8:0.639097744361
1 1:0 2:70 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:0 2:29 3:168 4:0.0 5:0.0 6:0.0 7:0.147208121827 8:0.852791878173
1 1:1 2:69 3:164 4:0.0042735042735 5:0.0142857142857 6:0.00606060606061 7:0.294871794872 8:0.700854700855
1 1:10 2:113 3:34 4:0.0636942675159 5:0.0813008130081 6:0.227272727273 7:0.71974522293 8:0.216560509554
1 1:2 2:300 3:2 4:0.00657894736842 5:0.00662251655629 6:0.5 7:0.986842105263 8:0.00657894736842
1 1:0 2:96 3:69 4:0.0 5:0.0 6:0.0 7:0.581818181818 8:0.418181818182
1 1:0 2:87 3:3 4:0.0 5:0.0 6:0.0 7:0.966666666667 8:0.0333333333333
1 1:1 2:8 3:64 4:0.013698630137 5:0.111111111111 6:0.0153846153846 7:0.109589041096 8:0.876712328767
1 1:0 2:54 3:5 4:0.0 5:0.0 6:0.0 7:0.915254237288 8:0.0847457627119
1 1:0 2:183 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:27 2:334 3:115 4:0.0567226890756 5:0.0747922437673 6:0.19014084507 7:0.701680672269 8:0.241596638655
1 1:0 2:114 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
1 1:0 2:4 3:756 4:0.0 5:0.0 6:0.0 7:0.00526315789474 8:0.994736842105
1 1:57 2:145 3:87 4:0.19723183391 5:0.282178217822 6:0.395833333333 7:0.501730103806 8:0.301038062284
1 1:2 2:11 3:300 4:0.00638977635783 5:0.153846153846 6:0.00662251655629 7:0.0351437699681 8:0.958466453674
1 1:0 2:14 3:125 4:0.0 5:0.0 6:0.0 7:0.10071942446 8:0.89928057554
1 1:14 2:121 3:16 4:0.0927152317881 5:0.103703703704 6:0.466666666667 7:0.801324503311 8:0.105960264901
